Establishment_id,Name,Category,City,State,Zip,Address_line_1,Address_line_2,Type,location_1,Zip Codes,Distance_to_McKeldin
1590,TUCKER'S RESTAURANT,,UPPER MARLBORO,MD,20772,9205 MARLBORO PIKE,,Food Establishments,POINT (-76.846479 38.818456),17002,12.716313877798868
1591,TULIP GROVE ELEMENTARY SCHOOL,Public School,BOWIE,MD,20715,2909 TRAINOR LN,,Food Establishments,POINT (-76.750929 38.968126),16435,10.525355884488086
1592,TURNER MEMORIAL AME CHURCH,Church/Temple/Mosque,HYATTSVILLE,MD,20783,7201 16TH PL,,Food Establishments,POINT (-76.981512 38.97941),10889,2.0129829781554576
1593,UMCP - 251 NORTH,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
1594,UMCP - ADELE'S 1236,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
1595,UMCP - APPLAUSE CAFE 8575,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
1596,UMCP - MD STADIUM TYSER TOWER PRESS BOX,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
1597,UMCP - CHICK-FIL-A,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
1598,UMCP - XFINITY CENTER - COMMISSARY,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
1599,UMCP - XFINITY CENTER - HERITAGE HALL,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
1601,UMCP - ELLICOTT DINING HALL,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
1602,UMCP - GOSSETT FIELD HOUSE,College/University,COLLEGE PARK,MD,20742,3841 CAMPUS DR,,Food Establishments,POINT (-76.948226 38.984828),15306,0.1862277818672894
